T9,PT_median,PT_p16,PT_p84,LU_median,LU_p16,LU_p84,Fixed01
0.036251170499885334,3.945282255078457e-11,3.605083111531609e-12,1.7242022471492001e-10,8.314300294689041e-13,7.82916695122947e-15,9.252603600381312e-11,8.701778964148394e-11
0.040753929658717776,7.98523775476636e-10,7.29667585486867e-11,3.489779435442444e-09,1.6828115284313343e-11,1.5846207060813538e-13,1.872723795732144e-09,1.7612370782522795e-09
0.04581597669054491,1.1369781996782144e-08,1.038937303044249e-09,4.9689229821805096e-08,2.3960714517880813e-10,2.256262434387483e-12,2.6664780625913686e-08,2.5077376828792818e-08
0.05150678076168125,1.1839878677148681e-07,1.081893357734505e-08,5.174368803356424e-07,2.4951397747977387e-09,2.3495501931801722e-11,2.7767266571421845e-07,2.611422974319809e-07
0.057904439806024895,9.334367702675629e-07,8.529471197764234e-08,4.07938817253271e-06,1.9671276000897557e-08,1.852347142827136e-10,2.1891261164365555e-06,2.058803382551743e-06
0.0650967523045817,5.745372794882062e-06,5.249953005420796e-07,2.5108937822874562e-05,1.210781678803774e-07,1.140133453069989e-09,1.3474234179070533e-05,1.267208805234164e-05
0.07318242219076174,2.837428703283978e-05,2.5927590567739197e-06,0.00012400382608951222,5.979606217908985e-07,5.630700566892405e-09,6.654429604380367e-05,6.258279080216624e-05
0.0822724134170047,0.0001152048019814637,1.0527076623126393e-05,0.0005034782446886508,2.427829638376604e-06,2.2861675540075505e-08,0.0002701820292382882,0.00025409759242466326
0.09249147277217336,0.00039296438511228753,3.5907931970599625e-05,0.0017173678131344138,8.281343872762829e-06,7.798133512427617e-08,0.0009215927909419689,0.0008667286645025126
0.103979841848149,0.0011479752598241074,0.0001048986093788542,0.005016983309907827,2.419246691099291e-05,2.2780854154287207e-07,0.0026922687238725798,0.0025319929783075945
0.11689518164985782,0.0029217610583392862,0.00026698194872600353,0.012768939347589063,6.157328489512143e-05,5.79805287388349e-07,0.00685220857216118,0.006444283899586076
0.13141473626117567,0.006578156614907688,0.0006010926413918147,0.0287484435439909,0.00013862828042641534,1.3053942161718065e-06,0.015427305739816237,0.014508889644281991
0.1477377652598511,0.013279898822136128,0.0012134781714262775,0.058036991806016645,0.0002798610075317193,2.6353132235369492e-06,0.031144448409548022,0.02929036168901055
0.1660882782627716,0.024330441965752382,0.0022232443651890137,0.10633105567411227,0.0005127405030283362,4.828224695505014e-06,0.05706053974754521,0.053663620090422935
0.18671810912919207,0.04089077005431875,0.00373647853333159,0.1787044704458428,0.0008617333806093508,8.114518678796777e-06,0.09589835701613958,0.090189350135463
0.20991037201085547,0.06364461555527476,0.005815658141642395,0.2781453443998759,0.0013412486399051534,1.262987762377861e-05,0.14926141172120247,0.14037560331895393
0.2359833466782195,0.09252149306593863,0.008454342440933196,0.40434563597710993,0.0019498008693117092,1.8360314141221015e-05,0.21698439921569934,0.20406691588578768
0.26529484644318974,0.12657405902804508,0.01156596595776228,0.5531651803265235,0.002667425720738288,2.5117833801364657e-05,0.2968455787340054,0.2791738114147213
0.2982471286216891,0.16405233017499302,0.01499062035827684,0.7169560453467745,0.0034572439915106757,3.255516332259728e-05,0.3847408328958453,0.3618364982375368
0.3352924149249558,0.202650751054049,0.018517630753128973,0.8856422880874867,0.004270668333143452,4.0214779582675004e-05,0.4752630984536196,0.4469698056003673
0.37693909753883614,0.23985468805150328,0.021917217304366514,1.0482342336732209,0.005054705277378195,4.7597669200297564e-05,0.5625149752915569,0.5290274165434687
0.4237587160604063,0.27329624022656307,0.024973008174956925,1.194383471371421,0.00575945360494349,5.4233936979358834e-05,0.6409431855061755,0.6027866500864738
0.4763938010401343,0.3010434549348492,0.027508467203474385,1.3156468103646584,0.006344199284746103,5.9740198948401706e-05,0.7060168512445311,0.6639863599301671
0.5355666917706899,0.32177910976610746,0.02940323047275615,1.4062676084334005,0.006781183130077271,6.385506052283069e-05,0.7546467798893066,0.7097212588176225
0.6020894493336132,0.3348600512871517,0.03059852851004478,1.4634350993939766,0.0070568513051570934,6.64508919089298e-05,0.7853246271987596,0.7385727970345795
0.6768750009458534,0.3402748669885558,0.031093318473730154,1.4870994072853625,0.007170963302401194,6.752542836527236e-05,0.7980236281865146,0.7505158029638933
0.7609496685459879,0.3385320271439427,0.030934062884809193,1.4794826940004384,0.0071342346404277435,6.717957265126946e-05,0.7939362637906218,0.7466717669438563
0.8554672535565685,0.33051343004133665,0.030201347020042596,1.444439109664994,0.006965250471633807,6.558833199034748e-05,0.7751307904113528,0.728985818239015
0.9617248711152965,0.3173231526514185,0.028996058192010052,1.3867937893917912,0.006687278148997423,6.2970803581936e-05,0.7441965250844839,0.699893127044329
1.0811807510766078,0.3001523075082516,0.027427036767581577,1.311752238833045,0.006325419215710396,5.95633562910225e-05,0.703926903465207,0.6620208306145546
1.2154742500762872,0.28017155333419363,0.025601254104355403,1.2244305745787305,0.005904344170690136,5.5598300051033294e-05,0.6570673922676878,0.6179509529433611
